Observation id	Observation date	Description	Media file	Total length	FPS	Subject	Behavior	Behavioral category	Modifiers	Behavior type	Start (s)	Stop (s)	Duration (s)	Comment start	Comment stop
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	E77	Allow ACU			POINT	388.591	388.591	NA		
Sask Beach Camera 2 July 29 M2U00664	2021-07-15 14:18:22		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00664.MPG	5693.200	29.97	90F	END			POINT	391.000	391.000	NA		
Sask Beach Camera 2 July 29 M2U00664	2021-07-15 14:18:22		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00664.MPG	5693.200	29.97	B9A	END			POINT	391.000	391.000	NA		
Sask Beach Camera 2 July 29 M2U00664	2021-07-15 14:18:22		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00664.MPG	5693.200	29.97	C4B	END			POINT	391.000	391.000	NA		
Sask Beach Camera 2 July 29 M2U00664	2021-07-15 14:18:22		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00664.MPG	5693.200	29.97	516	END			POINT	391.000	391.000	NA		
Sask Beach Camera 2 July 29 M2U00664	2021-07-15 14:18:22		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00664.MPG	5693.200	29.97	3E4	END			POINT	391.000	391.000	NA		
Sask Beach Camera 2 July 29 M2U00664	2021-07-15 14:18:22		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00664.MPG	5693.200	29.97	7F0	END			POINT	391.000	391.000	NA		
Sask Beach Camera 2 July 29 M2U00664	2021-07-15 14:18:22		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00664.MPG	5693.200	29.97	D8A	END			POINT	391.000	391.000	NA		
Sask Beach Camera 2 July 29 M2U00664	2021-07-15 14:18:22		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00664.MPG	5693.200	29.97	E77	END			POINT	391.000	391.000	NA		
Sask Beach Camera 2 July 31 M2U00734	2021-07-15 18:43:54		F:/Bat Videos/Sask Beach/Camera 2 July 31 3.40/M2U00734.MPG	4512.010	29.97	90F	END			POINT	391.000	391.000	NA		
